CryoSleep,Age,VIP,Transported,Side,Group,Spendings,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,Destination_55 Cancri e,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,Deck_A,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,GroupSize,GroupMember
0,15.0,0,0,1,25,1223.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
0,34.0,0,0,0,26,7861.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1
0,43.0,0,0,0,28,1309.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1
0,32.0,0,0,1,30,1821.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
0,47.0,0,1,0,31,2854.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3,1
0,2.0,0,1,0,31,0.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3,2
0,20.0,0,1,0,31,3152.4213351066496,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3,3
1,28.0,0,1,1,34,0.0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1
0,23.0,0,0,0,35,2699.0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1
0,15.0,0,0,1,36,961.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
0,20.0,0,0,1,38,3355.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
1,30.0,0,0,0,39,0.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1
1,17.0,0,1,0,41,0.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
0,45.0,0,0,0,43,3575.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1
1,55.0,0,0,0,44,0.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3,1
1,4.0,0,1,0,44,0.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,3,2
1,21.0,0,1,0,44,0.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,3,3
0,21.0,0,0,0,45,1214.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,1
1,19.0,0,1,0,45,0.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,2
0,35.0,0,0,1,50,790.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
0,56.0,0,0,1,51,1618.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
0,25.273472214001867,0,0,1,52,4689.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
0,25.0,0,1,1,53,1939.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
0,2.0,0,1,1,56,0.0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,3,1
1,38.0,0,1,1,56,0.0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,3,2
0,27.0,0,1,1,56,4547.0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,3,3
1,36.0,0,0,1,58,0.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1
0,22.0,0,0,1,61,2667.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
0,62.0,0,0,1,62,634.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
1,15.0,0,1,1,64,0.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,1
1,33.0,0,1,1,64,0.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2,2
0,62.0,0,0,0,66,811.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
1,0.0,0,1,1,67,0.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,3,1
0,18.0,0,1,1,67,705.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3,2
0,21.0,0,0,1,67,2007.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,3,3
0,24.226062234476007,0,0,1,68,1048.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1
0,42.0,0,1,1,69,902.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
0,19.0,0,0,0,70,922.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
0,17.0,0,0,0,71,2233.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
0,14.0,0,0,1,72,1064.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
0,37.0,0,0,0,73,879.0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1
0,42.0,0,1,1,74,8904.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1
0,27.0,0,1,1,76,1165.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1
0,28.0,0,1,0,77,1309.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1
0,38.0,0,0,1,78,15815.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1
1,13.0,0,0,1,81,0.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
0,42.0,0,0,0,82,7406.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3,1
1,2.0,0,1,0,82,0.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3,2
0,8.0,0,1,0,82,0.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3,3
0,24.0,0,1,1,84,705.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
1,40.0,0,1,1,85,0.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1
0,43.0,0,0,0,86,1362.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
1,45.0,0,1,1,88,0.0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
1,35.0,0,1,1,90,0.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
1,26.0,0,1,1,91,0.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1
0,27.0,0,0,1,91,917.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,2
0,19.0,0,0,0,92,705.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3,1
1,0.0,0,1,0,92,0.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3,2
1,3.0,0,1,0,92,0.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3,3
0,54.0,0,0,1,97,1848.0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1
0,26.0,0,0,0,98,893.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1
0,26.0,0,1,0,98,3855.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,2
0,23.0,0,0,0,99,1301.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1
1,2.0,0,1,0,99,0.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,2
1,31.0,0,1,1,101,0.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1
0,18.0,0,0,1,102,921.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
0,24.0,0,1,1,103,17.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,3,1
1,9.0,0,1,1,103,0.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,3,2
1,6.0,0,0,1,103,0.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3,3
0,27.0,0,0,0,105,703.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
0,21.0,0,0,1,107,1765.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1
1,23.0,0,0,1,108,0.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3,1
0,31.0,0,0,1,108,888.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3,2
0,0.0,0,1,1,108,0.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3,3
0,32.0,0,0,1,110,5109.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,4,1
0,40.0,0,0,0,110,2018.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,4,2
0,42.0,0,1,0,110,15940.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,4,3
1,28.0,0,1,0,110,0.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,4,4
1,29.0,0,1,1,111,0.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1
0,48.0,1,1,1,112,2654.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1
0,64.0,0,1,0,113,804.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
0,27.0,0,0,1,114,907.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
1,26.0,0,1,0,115,0.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1
0,33.0,0,1,0,116,2640.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1
0,39.0,0,0,0,119,9307.0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,1
1,13.0,0,1,0,119,0.0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,2
1,24.0,0,1,0,120,0.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1
0,29.0,0,0,1,122,773.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
0,18.0,0,0,0,123,702.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
1,67.0,0,1,1,126,0.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1
0,35.0,0,0,1,127,1022.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1
0,61.0,1,0,1,128,3014.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,2,1
0,45.0,0,0,1,128,2109.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2,2
1,22.0,0,1,1,129,0.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1
1,19.0,0,1,1,133,0.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,1
0,36.0,0,0,1,133,2738.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,2,2
0,19.0,0,1,0,134,744.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
0,47.0,0,0,1,136,721.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1
1,13.0,0,1,0,138,0.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1
0,34.0,0,0,0,138,793.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2,2
1,35.0,0,1,1,139,0.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1
1,24.0,0,1,0,140,0.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1
0,26.0,0,0,0,140,902.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,2
0,31.0,0,0,0,141,297.4,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1
0,20.0,0,1,1,144,630.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
0,56.0,0,0,1,146,0.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
1,50.0,0,1,1,147,0.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
0,42.0,0,0,0,148,1158.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1
1,35.2,0,1,1,149,0.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1
1,38.0,0,0,0,151,0.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1
0,41.0,0,0,0,152,607.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
0,22.0,0,0,0,160,4180.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
1,26.0,0,1,0,163,0.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,1
1,17.0,0,1,0,163,0.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,2
0,57.0,0,1,1,164,2617.590529522009,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1
1,17.0,0,0,1,164,0.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,2,2
1,35.0,0,1,0,165,0.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1
1,13.0,0,1,1,167,0.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,1
0,27.0,0,0,1,167,1572.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,2
1,31.0,0,0,0,169,0.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
0,24.0,0,0,1,170,788.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
1,19.0,0,1,1,171,0.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1
1,32.0,0,1,0,172,0.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
0,58.0,0,1,1,173,990.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
0,21.0,0,0,0,174,593.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
0,38.0,0,0,1,177,27428.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1
0,38.0,0,0,1,178,3722.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1
0,19.0,0,1,0,179,906.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3,1
0,0.0,0,0,0,179,0.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3,2
0,3.0,0,1,0,179,0.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3,3
0,20.0,0,0,0,181,394.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
1,24.0,0,1,0,182,0.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1
0,37.0,0,1,1,183,821.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
0,25.0,0,0,0,186,1018.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
1,56.0,0,1,1,188,0.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
0,49.0,0,0,0,189,788.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
1,11.0,0,0,1,190,0.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1
1,1.0,0,1,0,192,0.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3,1
0,8.0,0,0,0,192,0.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3,2
0,39.0,0,0,0,192,908.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3,3
1,2.0,0,1,0,193,0.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3,1
0,23.0,0,0,0,193,1275.5539895706022,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3,2
0,0.0,0,1,0,193,0.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3,3
0,39.0,0,1,0,195,1273.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1
0,25.0,0,0,0,196,1778.0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1
0,36.0,0,0,0,197,2342.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1
1,52.0,0,1,0,198,0.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1
1,18.0,0,0,1,199,0.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
1,15.0,0,1,0,200,0.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
1,35.0,0,1,1,201,0.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,1
1,47.0,0,1,1,201,0.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,2
1,45.0,0,1,0,202,0.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1
0,30.99529094958339,0,1,0,202,3770.9068632004014,0,1,0,1,0,0,1,0,0,0,0,0,0,0,2,2
1,51.0,0,1,1,203,0.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1
0,29.0,0,0,1,205,773.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
0,39.21096114832333,0,1,1,206,2981.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1
1,19.0,0,0,0,207,0.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1
1,24.0,0,1,0,210,129.6,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1
0,29.0,0,1,0,211,1040.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3,1
1,11.0,0,1,0,211,0.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3,2
0,17.0,0,0,0,211,1337.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3,3
0,13.0,0,0,0,212,982.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1
0,35.0,0,0,0,212,732.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,2
0,21.0,0,0,0,213,794.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
0,21.0,0,0,1,216,1974.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
0,38.0,0,0,0,217,1544.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
1,19.0,0,1,0,219,0.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
1,2.0,0,1,0,220,0.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,7,1
0,0.0,0,1,0,220,0.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,7,2
1,13.0,0,0,0,220,0.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,7,3
0,25.0,0,0,0,220,757.1451781326276,1,0,0,0,0,1,0,0,0,0,1,0,0,0,7,4
0,16.0,0,0,0,220,1102.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,7,5
0,1.0,0,0,0,220,0.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,7,6
1,15.0,0,1,0,220,0.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,7,7
0,21.0,0,0,1,221,2356.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,7,1
0,23.0,0,0,1,221,1298.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,7,2
0,33.0,0,0,1,221,2134.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,7,3
1,21.0,0,1,1,221,0.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,7,4
0,41.0,0,0,1,221,2597.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,7,5
0,16.0,0,0,1,221,1370.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,7,6
1,42.0,0,0,1,221,0.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,7,7
0,20.0,0,0,1,222,1417.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3,1
1,24.0,0,1,1,222,0.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3,2
1,16.0,0,1,1,222,0.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,3,3
0,21.0,0,0,1,223,676.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
0,32.0,1,0,1,224,1820.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1
1,58.0,0,1,0,225,0.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1
0,24.0,0,0,1,229,803.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
0,30.0,0,0,1,231,1806.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1
1,27.0,0,0,1,232,0.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1
0,32.0,0,0,1,233,1750.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1
0,43.0,0,0,0,234,888.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
1,42.0,0,1,0,237,0.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1
0,37.0,0,0,1,239,1048.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1
1,35.0,0,1,0,240,0.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1
0,33.0,0,0,0,241,7177.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1
0,18.0,0,0,1,242,1288.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
1,21.0,0,0,1,243,0.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
1,43.0,0,1,1,244,0.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,1
1,14.0,0,1,1,244,0.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2,2
0,46.0,0,1,0,245,3578.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2,1
0,33.0,0,0,0,245,12378.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2,2
0,21.0,0,0,0,246,3261.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1
0,33.0,0,0,1,248,9684.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1
1,47.0,0,0,1,250,0.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1
1,54.0,0,1,1,251,0.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
0,30.0,0,0,0,252,1571.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
0,29.0,0,0,0,253,888.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
0,21.0,0,1,0,254,1290.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
1,24.0,0,1,1,255,0.0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1
0,21.0,0,0,1,257,1664.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2,1
1,60.0,0,1,1,257,0.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,2
0,22.0,0,0,1,258,704.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
0,26.0,0,0,1,260,7845.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1
0,26.0,0,0,0,261,898.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
1,28.0,0,1,0,263,0.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
1,39.0,0,1,1,265,0.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1
0,13.0,0,0,1,267,873.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
0,47.0,0,1,1,269,823.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
0,63.0,0,0,0,270,1393.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
1,35.2,0,1,1,275,0.0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1
0,50.0,0,1,0,277,2487.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
0,35.0,0,0,1,278,888.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1
0,45.0,0,0,0,278,444.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,2
0,19.0,0,1,0,281,2078.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
0,21.0,0,1,1,282,918.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
1,29.0,0,1,0,283,0.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,2,1
0,22.0,0,1,0,283,803.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,2
1,14.0,0,1,0,285,0.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2,1
1,42.0,0,1,0,285,0.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2,2
0,57.0,0,0,0,286,1488.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
1,39.0,0,1,1,287,0.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1
0,28.0,0,0,0,287,2085.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,2
0,19.0,0,0,1,288,828.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
1,19.0,0,1,1,289,0.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1
0,26.0,0,1,1,290,5877.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,4,1
1,17.0,0,1,1,290,0.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,4,2
1,43.0,0,1,1,290,0.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,4,3
0,9.0,0,1,1,290,0.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,4,4
0,40.0,0,1,1,291,7678.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1
1,50.0,0,1,1,294,0.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1
